epoch,grad_norm,lr,train_loss,val_accuracy,val_confidence_mean_confidence,val_confidence_p90_confidence,val_loss,val_per_class_buy_base_rate,val_per_class_buy_edge,val_per_class_buy_f1,val_per_class_buy_precision,val_per_class_buy_predicted,val_per_class_buy_recall,val_per_class_buy_support,val_per_class_neutral_base_rate,val_per_class_neutral_edge,val_per_class_neutral_f1,val_per_class_neutral_precision,val_per_class_neutral_predicted,val_per_class_neutral_recall,val_per_class_neutral_support,val_per_class_sell_base_rate,val_per_class_sell_edge,val_per_class_sell_f1,val_per_class_sell_precision,val_per_class_sell_predicted,val_per_class_sell_recall,val_per_class_sell_support
1,inf,0.001,0.20305,0.1462,0.7793,0.8036,0.17055,0.0748,0.0674,0.2489,0.1421,56672,1.0,8055,0.8537,-0.8537,0.0,0.0,0,0.0,91986,0.0715,0.0792,0.2619,0.1507,51078,0.9987,7709
2,inf,0.001,0.17434,0.1463,0.7801,0.8122,0.16924,0.0748,0.0676,0.2492,0.1423,56589,0.9999,8055,0.8537,-0.8537,0.0,0.0,0,0.0,91986,0.0715,0.0791,0.2619,0.1507,51161,1.0,7709
3,inf,0.001,0.17224,0.1463,0.77,0.7956,0.16845,0.0748,0.0676,0.2492,0.1424,56585,1.0,8055,0.8537,-0.8537,0.0,0.0,0,0.0,91986,0.0715,0.0791,0.2618,0.1506,51165,0.9999,7709
4,inf,0.001,0.17122,0.1463,0.7687,0.7959,0.16792,0.0748,0.0676,0.2493,0.1424,56578,1.0,8055,0.8537,-0.8537,0.0,0.0,0,0.0,91986,0.0715,0.0791,0.2618,0.1506,51172,0.9999,7709
5,nan,0.001,0.17066,0.1463,0.7865,0.8132,0.16962,0.0748,0.0676,0.2492,0.1424,56585,1.0,8055,0.8537,-0.8537,0.0,0.0,0,0.0,91986,0.0715,0.0791,0.2619,0.1507,51165,1.0,7709
6,nan,0.001,0.17021,0.1463,0.7794,0.8105,0.16681,0.0748,0.0676,0.2493,0.1424,56576,1.0,8055,0.8537,-0.8537,0.0,0.0,0,0.0,91986,0.0715,0.0791,0.2618,0.1506,51174,1.0,7709
7,nan,0.001,0.17023,0.1463,0.7794,0.8038,0.16919,0.0748,0.0676,0.2493,0.1424,56576,1.0,8055,0.8537,0.1463,0.0,1.0,2,0.0,91986,0.0715,0.0791,0.2618,0.1506,51172,0.9997,7709
8,0.18624,0.001,0.16937,0.1463,0.776,0.81,0.16636,0.0748,0.0676,0.2493,0.1424,56578,1.0,8055,0.8537,-0.8537,0.0,0.0,0,0.0,91986,0.0715,0.0791,0.2619,0.1506,51172,1.0,7709
9,inf,0.001,0.16921,0.1463,0.7748,0.8076,0.16677,0.0748,0.0676,0.2493,0.1424,56576,1.0,8055,0.8537,0.1463,0.0001,1.0,3,0.0,91986,0.0715,0.0791,0.2619,0.1507,51171,1.0,7709
10,nan,0.001,0.16894,0.1463,0.7862,0.8146,0.16733,0.0748,0.0676,0.2493,0.1424,56574,1.0,8055,0.8537,-0.8537,0.0,0.0,0,0.0,91986,0.0715,0.0791,0.2618,0.1506,51176,1.0,7709
11,nan,0.001,0.16918,0.1484,0.7723,0.8121,0.16655,0.0748,0.068,0.2499,0.1428,56333,0.9986,8055,0.8537,0.1018,0.0051,0.9555,247,0.0026,91986,0.0715,0.0791,0.2619,0.1507,51170,1.0,7709
12,nan,0.0005,0.16882,0.1463,0.7808,0.8119,0.16702,0.0748,0.0676,0.2492,0.1424,56584,1.0,8055,0.8537,-0.2287,0.0002,0.625,16,0.0001,91986,0.0715,0.0791,0.2617,0.1506,51150,0.9992,7709
13,nan,0.0005,0.16811,0.1463,0.7666,0.804,0.1663,0.0748,0.0676,0.2493,0.1424,56575,1.0,8055,0.8537,0.1463,0.0,1.0,1,0.0,91986,0.0715,0.0791,0.2618,0.1506,51174,1.0,7709
14,nan,0.0005,0.16765,0.1464,0.7773,0.8144,0.16812,0.0748,0.0676,0.2493,0.1424,56550,0.9996,8055,0.8537,-0.0355,0.0002,0.8182,11,0.0001,91986,0.0715,0.0791,0.2618,0.1506,51189,1.0,7709
15,nan,0.0005,0.16749,0.1463,0.7781,0.8108,0.1668,0.0748,0.0676,0.2493,0.1424,56574,1.0,8055,0.8537,0.1463,0.0001,1.0,4,0.0,91986,0.0715,0.0791,0.2619,0.1506,51172,1.0,7709
16,nan,0.0005,0.16737,0.1465,0.7772,0.8109,0.16683,0.0748,0.0676,0.2493,0.1424,56573,1.0,8055,0.8537,0.0309,0.0005,0.8846,26,0.0003,91986,0.0715,0.0791,0.2618,0.1507,51151,0.9996,7709
17,nan,0.00025,0.16706,0.1466,0.7818,0.8218,0.16702,0.0748,0.0677,0.2494,0.1425,56541,1.0,8055,0.8537,0.1463,0.0008,1.0,37,0.0004,91986,0.0715,0.0791,0.2619,0.1506,51172,1.0,7709
18,nan,0.00025,0.16665,0.1472,0.7727,0.8131,0.16684,0.0748,0.0678,0.2495,0.1425,56503,0.9998,8055,0.8537,0.1259,0.0021,0.9796,98,0.001,91986,0.0715,0.0792,0.262,0.1507,51149,1.0,7709
19,nan,0.00025,0.16646,0.1467,0.7681,0.8106,0.1669,0.0748,0.0677,0.2494,0.1425,56531,0.9999,8055,0.8537,0.1008,0.0009,0.9545,44,0.0005,91986,0.0715,0.0791,0.2618,0.1506,51175,0.9999,7709
20,nan,0.00025,0.1662,0.1468,0.7724,0.8142,0.16717,0.0748,0.0677,0.2494,0.1424,56512,0.9994,8055,0.8537,0.0657,0.0012,0.9194,62,0.0006,91986,0.0715,0.0791,0.2618,0.1506,51176,1.0,7709
21,nan,0.000125,0.16614,0.1467,0.7734,0.8144,0.16717,0.0748,0.0677,0.2493,0.1424,56512,0.9993,8055,0.8537,0.0296,0.0012,0.8833,60,0.0006,91986,0.0715,0.0791,0.2618,0.1506,51178,0.9999,7709
22,nan,0.000125,0.16563,0.1471,0.7719,0.8125,0.16733,0.0748,0.0677,0.2494,0.1425,56490,0.9991,8055,0.8537,0.0637,0.0022,0.9174,109,0.0011,91986,0.0715,0.0791,0.2619,0.1507,51151,0.9997,7709
23,nan,0.000125,0.16551,0.1475,0.7718,0.8158,0.16772,0.0748,0.0677,0.2493,0.1424,56498,0.9989,8055,0.8537,0.052,0.0031,0.9057,159,0.0016,91986,0.0715,0.0792,0.262,0.1508,51093,0.9992,7709
