epoch,grad_norm,lr,train_loss,val_direction_accuracy_tradeable,val_loss,val_trade_confidence_mean_confidence,val_trade_confidence_p90_confidence,val_tradeability_accuracy,val_tradeability_base_rate,val_tradeability_edge,val_tradeability_f1,val_tradeability_precision,val_tradeability_recall,val_tradeability_threshold
1,0.23676,0.0001,0.72251,0.5067,0.70182,0.3604,0.5149,0.7236,0.2563,0.171,0.2995,0.4273,0.2305,0.5
2,0.35229,0.0001,0.7142,0.5047,0.70045,0.3716,0.5158,0.7289,0.2563,0.187,0.2996,0.4434,0.2262,0.5
3,0.38596,0.0001,0.71253,0.4999,0.69985,0.3797,0.5318,0.7152,0.2563,0.1659,0.3515,0.4222,0.3012,0.5
4,0.40705,0.0001,0.71153,0.5029,0.69755,0.3639,0.5254,0.7273,0.2563,0.1862,0.3157,0.4425,0.2453,0.5
5,0.43024,0.0001,0.71078,0.5031,0.6972,0.3625,0.5165,0.7312,0.2563,0.1951,0.3011,0.4514,0.2259,0.5
6,0.44866,0.0001,0.71003,0.5026,0.69661,0.3688,0.5367,0.7206,0.2563,0.1776,0.3518,0.4339,0.2958,0.5
7,0.47939,0.0001,0.70926,0.5038,0.69608,0.3634,0.5157,0.7325,0.2563,0.1996,0.3027,0.4559,0.2265,0.5
8,0.49189,0.0001,0.70876,0.4991,0.69704,0.3639,0.5181,0.7308,0.2563,0.1942,0.3039,0.4505,0.2293,0.5
9,0.52097,0.0001,0.70824,0.5054,0.69691,0.3743,0.5414,0.7214,0.2563,0.1795,0.3521,0.4358,0.2954,0.5
10,0.54581,0.0001,0.70766,0.5072,0.69533,0.3622,0.5322,0.7265,0.2563,0.1884,0.3358,0.4447,0.2697,0.5
11,0.57855,0.0001,0.70719,0.5018,0.69497,0.356,0.5199,0.7322,0.2563,0.1997,0.3081,0.456,0.2327,0.5
12,0.60778,0.0001,0.70662,0.5084,0.69556,0.3773,0.5487,0.7119,0.2563,0.1681,0.3828,0.4244,0.3485,0.5
13,0.63337,0.0001,0.70601,0.5022,0.6952,0.3625,0.539,0.7213,0.2563,0.1783,0.3483,0.4346,0.2906,0.5
14,0.66902,0.0001,0.70558,0.5034,0.69752,0.3824,0.544,0.7178,0.2563,0.1741,0.3619,0.4304,0.3122,0.5
15,0.68682,0.0001,0.70523,0.5083,0.69485,0.366,0.541,0.7214,0.2563,0.1781,0.3463,0.4344,0.2879,0.5
16,0.71629,0.0001,0.70463,0.5008,0.69593,0.3644,0.5448,0.7193,0.2563,0.1762,0.3572,0.4325,0.3042,0.5
17,0.74898,0.0001,0.70426,0.504,0.696,0.3803,0.5527,0.7145,0.2563,0.1694,0.3694,0.4257,0.3262,0.5
18,0.77713,0.0001,0.70376,0.5027,0.69684,0.374,0.5413,0.7206,0.2563,0.1773,0.3504,0.4336,0.294,0.5
19,0.80756,5e-05,0.70326,0.5015,0.69712,0.3814,0.5565,0.7079,0.2563,0.1623,0.3864,0.4186,0.3587,0.5
20,0.86871,5e-05,0.7018,0.5067,0.69543,0.3619,0.5428,0.7213,0.2563,0.1794,0.3527,0.4357,0.2963,0.5
21,0.93251,5e-05,0.70144,0.5075,0.69612,0.3713,0.5525,0.7152,0.2563,0.1708,0.3692,0.4271,0.3252,0.5
22,0.98561,5e-05,0.70105,0.5089,0.69632,0.3626,0.547,0.7183,0.2563,0.1741,0.3579,0.4304,0.3062,0.5
23,1.02222,2.5e-05,0.70066,0.5078,0.69647,0.3641,0.5441,0.7189,0.2563,0.1744,0.3542,0.4307,0.3007,0.5
24,1.06852,2.5e-05,0.69982,0.5079,0.69622,0.3643,0.546,0.7175,0.2563,0.1728,0.3594,0.4291,0.3091,0.5
25,1.11583,2.5e-05,0.69962,0.5073,0.69709,0.3627,0.5504,0.7133,0.2563,0.1666,0.3673,0.4229,0.3247,0.5
