Timestamp	Container ID	Stream	Log Message
2026-02-16T01:54:34.436493986Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Started server process [7]
2026-02-16T01:54:34.436551747Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application startup.
2026-02-16T01:54:34.437056128Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application startup complete.
2026-02-16T01:54:34.437452306Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16T01:54:34.437855824Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Failure to initialize user app
2026-02-16T01:54:34.437879224Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Error: No module named 'main'
2026-02-16T01:54:34.438056948Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback: 
2026-02-16T01:54:34.438080238Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback (most recent call last):
2026-02-16T01:54:34.438087319Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	  File "/cortex/__cerebrium_src/server.py", line 113, in _load_main_module
2026-02-16T01:54:34.438092639Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	    _main_module = __import__("main")
2026-02-16T01:54:34.438097809Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	                   ^^^^^^^^^^^^^^^^^^
2026-02-16T01:54:34.438102959Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	ModuleNotFoundError: No module named 'main'
2026-02-16T01:54:34.438108119Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T01:54:34.438112739Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T01:56:24.284943359Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Shutting down
2026-02-16T01:56:24.385499499Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application shutdown.
2026-02-16T01:56:29.390807163Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Waiting for active requests to complete...
2026-02-16T01:56:29.390867384Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	All active requests completed. Shutting down.
2026-02-16T01:56:29.391075879Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application shutdown complete.
2026-02-16T01:56:29.391259872Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Finished server process [7]
2026-02-16T01:56:29.857564Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	Warning: Container 'p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v' terminated with exit code 143.
Cause: Graceful termination (SIGTERM)
Action: Process was asked to shut down gracefully. Check logs to see why it was terminated.
2026-02-16T01:56:30.110802338Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Started server process [7]
2026-02-16T01:56:30.110846989Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application startup.
2026-02-16T01:56:30.111089634Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application startup complete.
2026-02-16T01:56:30.111460211Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16T01:56:30.111854149Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Failure to initialize user app
2026-02-16T01:56:30.11185957Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Error: No module named 'main'
2026-02-16T01:56:30.112050823Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback: 
2026-02-16T01:56:30.112054463Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback (most recent call last):
2026-02-16T01:56:30.112056763Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	  File "/cortex/__cerebrium_src/server.py", line 113, in _load_main_module
2026-02-16T01:56:30.112059043Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	    _main_module = __import__("main")
2026-02-16T01:56:30.112061094Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	                   ^^^^^^^^^^^^^^^^^^
2026-02-16T01:56:30.112063114Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	ModuleNotFoundError: No module named 'main'
2026-02-16T01:56:30.112064974Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T01:56:30.112066874Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T01:58:24.299783076Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Shutting down
2026-02-16T01:58:24.400305224Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application shutdown.
2026-02-16T01:58:29.405619571Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Waiting for active requests to complete...
2026-02-16T01:58:29.405718113Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	All active requests completed. Shutting down.
2026-02-16T01:58:29.405971288Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application shutdown complete.
2026-02-16T01:58:29.406128102Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Finished server process [7]
2026-02-16T01:58:30.159169616Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Started server process [7]
2026-02-16T01:58:30.159235327Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application startup.
2026-02-16T01:58:30.159558174Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application startup complete.
2026-02-16T01:58:30.160019353Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16T01:58:30.160255858Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Failure to initialize user app
2026-02-16T01:58:30.160269428Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Error: No module named 'main'
2026-02-16T01:58:30.160422571Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback: 
2026-02-16T01:58:30.160428421Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback (most recent call last):
2026-02-16T01:58:30.160432252Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	  File "/cortex/__cerebrium_src/server.py", line 113, in _load_main_module
2026-02-16T01:58:30.160435582Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	    _main_module = __import__("main")
2026-02-16T01:58:30.160439292Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	                   ^^^^^^^^^^^^^^^^^^
